type	latitude	longitude	altitude (m)
T	45.467925400	-73.588685500	20.9		
T	45.467897200	-73.588761100	20.9		
T	45.467838900	-73.588909300	20.5		
T	45.467760200	-73.589108400	20.5		
T	45.467751200	-73.589131100	20.6		
T	45.467720700	-73.589208400	20.7		
T	45.467666500	-73.589358300	20.8		
T	45.467584700	-73.589585800	20.3		
T	45.467522700	-73.589757800	20.4		
T	45.467454400	-73.589944800	20.5		
T	45.467423500	-73.590042900	20.5		
T	45.467350800	-73.590276600	20.6		
T	45.467313500	-73.590395200	20.7		
T	45.467267400	-73.590585100	20.4		
T	45.467235900	-73.590724900	20.4		
T	45.467180900	-73.590969100	20.6		
T	45.467085300	-73.591399900	19.8		
T	45.467010800	-73.591738400	20.5		
T	45.467000300	-73.591785600	20.7		
T	45.466959900	-73.591986500	20.8		
T	45.466952200	-73.592024200	20.9		
T	45.466933100	-73.592125900	20.9		
T	45.466922200	-73.592191100	20.9		
T	45.466919600	-73.592216400	20.9		
T	45.466919400	-73.592237700	20.9		
T	45.466919400	-73.592240400	20.9		
T	45.466919500	-73.592243500	20.9		
T	45.466922600	-73.592349100	20.8		
T	45.466921600	-73.592382600	20.8		
T	45.466918300	-73.592406200	20.9		
T	45.466914500	-73.592426500	20.9		
T	45.466909000	-73.592449000	20.9		
T	45.466895700	-73.592489500	20.9		
T	45.466894700	-73.592492700	20.9		
T	45.466846900	-73.592638000	20.9		
T	45.466801800	-73.592769600	20.9		
T	45.466743100	-73.592957900	20.9		
T	45.466724600	-73.592963100	20.9		
T	45.466706600	-73.592972500	20.9		
T	45.466691000	-73.592987900	20.9		
T	45.466677900	-73.593007500	20.9		
T	45.466632400	-73.593098000	20.8		
T	45.466610700	-73.593154100	20.8		
T	45.466535900	-73.593356900	20.9		
T	45.466452200	-73.593584000	20.8		
T	45.466446500	-73.593599500	20.8		
T	45.466405800	-73.593699300	20.8		
T	45.466362400	-73.593806200	20.8		
T	45.466272200	-73.594028000	20.9		
T	45.466257800	-73.594063500	20.9		
T	45.466194000	-73.594216000	21.0		
T	45.466179300	-73.594247600	21.0		
T	45.466120700	-73.594373700	20.8		
T	45.466077300	-73.594458800	20.7		
T	45.466028300	-73.594555000	20.7		
T	45.465923700	-73.594769500	20.9		
T	45.465664300	-73.595298800	20.9		
T	45.465633700	-73.595361200	20.9		
T	45.465553100	-73.595500200	20.9		
T	45.465438600	-73.595697900	20.9		
T	45.465324000	-73.595895600	20.9		
T	45.465241500	-73.596038000	20.9		
T	45.465218400	-73.596080600	20.9		
T	45.465195000	-73.596124400	20.9		
T	45.465122400	-73.596262300	20.9		
T	45.465098900	-73.596306900	20.9		
T	45.465068800	-73.596368400	20.9		
