lat,long,altitude,Dlat,Dlong,Daltitude,position,distance,direction,Dposition,slope,TMY_GridID,Horizon_GridID,timezone
45.49795,-73.52274,9.7,-7.000000000090267e-05,-0.0004449999999991,-0.1000000000000005,1780.593682660278,1780.6619837357666,-2.985567810586466,49.7993392919368,-0.0020080560708667,182;-295,54598;-88228,America/Toronto
45.4979,-73.52274,9.7,5.000000001587068e-06,-5.000000000165983e-05,0.0,1786.153428992562,1786.2217300680509,3.041924001070491,5.586929069281496,0.0,182;-295,54598;-88228,America/Toronto
45.49785,-73.52273,9.7,1.4999999997655776e-05,-4.500000000007276e-05,0.0,1791.7675407988409,1791.8358418743296,2.8198420992405206,5.163578285626954,0.0,182;-295,54598;-88228,America/Toronto
45.49781,-73.52271,9.7,1.999999999924285e-05,-3.500000000045134e-05,0.0,1796.480585563816,1796.5488866393048,2.622446539365133,4.1975666375043375,0.0,182;-295,54598;-88228,America/Toronto
45.49778,-73.52269,9.7,2.5000000000829917e-05,-3.500000000045134e-05,0.0,1800.1626740738495,1800.2309751493383,2.5213431675973696,4.353521610152143,0.0,182;-295,54598;-88228,America/Toronto
45.49774,-73.52266,9.7,3.999999999848569e-05,-2.999999999886427e-05,0.0,1805.1876287841203,1805.255929859609,2.214297435588181,4.755945933895646,0.0,182;-295,54598;-88228,America/Toronto
45.49772,-73.52261,9.7,0.0003600000000005,-0.000119999999999,0.0,1809.6745659416408,1809.7428670171296,1.8925468811885784,31.076611608883013,0.0,182;-295,54598;-88228,America/Toronto
45.4975,-73.52194,9.7,0.0003400000000013,-0.0001800000000002,-0.0499999999999998,1867.3408520018863,1867.409153077375,2.057695558605205,36.626537528565336,-0.0013651295567143,182;-295,54598;-88227,America/Toronto
45.49736,-73.52193,9.6,0.0,-9.999999999976694e-05,-0.0499999999999998,1882.9276409987715,1882.9962628554392,3.141592653589793,11.15192862809306,-0.0044834993692617,182;-295,54597;-88227,America/Toronto
45.4973,-73.52194,9.6,-1.999999999924285e-05,-6.000000000128125e-05,0.0,1889.6447092580725,1889.71333111474,-2.8198420992109146,6.893321550022392,0.0,182;-295,54597;-88227,America/Toronto
45.49724,-73.52197,9.6,-3.0000000002416986e-05,-4.500000000007276e-05,0.0,1896.7142840988165,1896.782905955484,-2.553590050005788,5.571651157369843,0.0,182;-295,54597;-88227,America/Toronto
45.49721,-73.522,9.6,-2.5000000000829917e-05,-2.999999999886427e-05,0.0,1900.788011572812,1900.85663342948,-2.4468543773581453,3.877911507720455,0.0,182;-295,54597;-88227,America/Toronto
45.49718,-73.52202,9.6,-5.499999999614147e-05,-4.500000000007276e-05,0.0,1904.4701071142567,1904.538728970925,-2.2565258377363584,6.681451374869766,0.0,182;-295,54597;-88227,America/Toronto
45.49712,-73.52211,9.6,-8.000000000407681e-05,-4.500000000007276e-05,0.0,1914.150914322552,1914.2195361792196,-2.08318578708455,8.037856764029357,0.0,182;-295,54597;-88227,America/Toronto
